,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,42-12,25-3,17-9,29-6,13-6,12-1,8-3,9-2,2-3,3-3,8-0,42-12,0-0,4-4,22-4,3-0,11-4,12-2,11-5,5-1,0-0,0-0
2,Minnesota Timberwolves,38-16,19-5,19-11,12-8,26-8,4-4,3-1,5-3,7-2,7-2,12-4,38-16,0-0,5-4,22-7,1-2,13-2,10-3,10-7,4-2,0-0,0-0
3,Oklahoma City Thunder,37-17,21-6,16-11,15-4,22-13,4-2,5-1,6-1,10-4,7-6,5-3,37-17,0-0,4-3,21-4,3-1,9-5,10-3,11-6,4-2,0-0,0-0
4,Denver Nuggets,36-18,21-4,15-14,16-6,20-12,5-2,7-2,4-2,4-5,8-3,8-4,36-18,0-0,4-3,14-8,4-0,9-6,10-5,10-5,3-2,0-0,0-0
5,Cleveland Cavaliers,35-17,18-9,17-8,23-11,12-6,7-5,7-4,9-2,3-3,4-2,5-1,35-17,0-0,5-3,19-7,1-3,9-6,8-5,11-2,6-1,0-0,0-0
6,Los Angeles Clippers,35-17,20-6,15-11,14-4,21-13,5-3,3-1,6-0,5-6,7-3,9-4,35-17,0-0,1-3,21-8,3-1,5-9,11-2,12-3,4-2,0-0,0-0
7,Milwaukee Bucks,35-20,23-7,12-13,25-13,10-7,8-3,9-7,8-3,2-5,2-1,6-1,35-20,0-0,4-3,17-10,2-1,11-5,11-2,8-8,3-4,0-0,0-0
8,New York Knicks,33-21,19-8,14-13,22-11,11-10,6-3,5-6,11-2,4-3,3-3,4-4,33-21,0-0,2-2,22-9,2-2,9-5,6-8,14-2,2-4,0-0,0-0
9,New Orleans Pelicans,32-22,15-10,17-12,9-4,23-18,4-1,2-2,3-1,7-7,8-5,8-6,32-22,0-0,1-6,21-12,2-1,8-8,9-5,8-7,5-1,0-0,0-0
10,Philadelphia 76ers,32-21,17-10,15-11,21-13,11-8,5-4,6-6,10-3,5-4,3-2,3-2,32-21,0-0,3-2,20-12,2-1,10-5,10-4,7-7,3-4,0-0,0-0
11,Phoenix Suns,32-22,17-11,15-11,13-7,19-15,2-4,5-1,6-2,8-3,6-8,5-4,32-22,0-0,7-5,17-8,2-2,9-5,6-8,11-5,4-2,0-0,0-0
