Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,43,813,13.8,.511,.233,.200,13.1,20.3,16.7,9.3,1.4,3.1,12.2,17.6,,0.3,1.1,1.3,.079,,-2.2,0.2,-2.0,0.0,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,15.0,.512,.276,.247,12.4,22.2,17.2,14.2,1.8,2.4,13.3,21.3,,0.0,0.5,0.5,.057,,-1.5,0.0,-1.5,0.1,achiupr01
1,Precious Achiuwa,PF,24,NYK,18,376,12.5,.508,.160,.120,13.9,18.1,16.0,3.6,1.1,3.9,10.2,13.3,,0.3,0.6,0.8,.105,,-3.0,0.4,-2.6,-0.1,achiupr01
2,Bam Adebayo,C,26,MIA,40,1392,19.4,.563,.018,.441,7.2,28.0,17.4,19.6,1.5,2.8,11.9,26.1,,1.3,2.2,3.5,.122,,0.4,1.2,1.6,1.3,adebaba01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.0,.531,.570,.080,3.9,9.8,6.9,6.0,1.3,2.5,11.7,12.1,,0.1,0.6,0.6,.030,,-2.7,-0.3,-3.0,-0.2,agbajoc01
4,Santi Aldama,PF,23,MEM,38,916,13.2,.534,.517,.160,5.3,21.2,12.9,12.2,1.4,2.7,10.1,19.5,,0.0,1.3,1.2,.065,,-0.7,0.6,-0.1,0.4,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,50,1153,9.7,.558,.663,.120,2.1,7.0,4.7,14.7,1.9,2.0,13.3,13.5,,0.5,1.9,2.4,.100,,-1.9,2.0,0.0,0.6,alexani01
6,Grayson Allen,SG,28,PHO,44,1445,13.6,.696,.617,.218,2.6,11.2,7.1,11.8,1.3,1.6,13.3,14.3,,2.6,1.1,3.7,.124,,1.0,-0.3,0.7,1.0,allengr01
7,Jarrett Allen,C,25,CLE,42,1274,22.3,.674,.002,.366,13.4,25.3,19.4,13.8,1.4,3.3,13.6,18.9,,3.6,2.5,6.0,.226,,2.0,1.7,3.7,1.8,allenja01
8,Jose Alvarado,PG,25,NOP,31,499,13.3,.545,.587,.196,2.7,11.5,7.1,15.1,3.0,2.0,10.2,18.6,,0.3,0.7,1.0,.097,,-1.0,1.7,0.6,0.3,alvarjo01
9,Kyle Anderson,PF,30,MIN,50,1097,12.0,.516,.119,.354,4.1,13.3,9.0,24.2,1.7,2.3,17.1,14.5,,0.6,2.0,2.6,.113,,-1.8,2.7,0.9,0.8,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,48,1698,29.7,.651,.094,.591,8.3,26.4,17.6,30.4,1.9,2.5,13.0,33.1,,6.1,2.4,8.5,.239,,6.3,2.1,8.5,4.5,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,19,77,3.3,.500,.000,.000,5.9,5.5,5.7,14.1,1.2,3.2,39.1,12.7,,-0.1,0.1,-0.1,-0.051,,-7.9,-0.7,-8.7,-0.1,antetth01
12,Cole Anthony,PG,23,ORL,49,1141,14.4,.547,.349,.360,4.3,15.6,9.9,20.7,1.7,1.7,13.6,23.8,,0.5,1.7,2.2,.093,,-1.0,0.7,-0.3,0.5,anthoco01
13,OG Anunoby,SF,26,TOT,41,1400,13.5,.609,.475,.176,3.0,10.5,6.7,9.3,1.9,1.8,10.7,17.6,,1.3,1.4,2.6,.090,,-0.6,0.5,-0.1,0.7,anunoog01
13,OG Anunoby,SF,26,TOR,27,900,12.6,.598,.508,.143,2.9,10.3,6.5,11.2,1.5,1.3,11.2,18.3,,0.6,0.6,1.1,.060,,-1.0,-0.5,-1.5,0.1,anunoog01
13,OG Anunoby,SF,26,NYK,14,500,15.1,.630,.408,.242,3.3,11.0,7.2,5.9,2.5,2.8,9.9,16.4,,0.7,0.8,1.5,.144,,0.0,2.4,2.4,0.6,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,20,45,-1.9,.000,1.000,.000,0.0,19.5,9.8,10.2,2.2,0.0,25.0,7.6,,-0.1,0.1,-0.1,-0.082,,-11.8,2.0,-9.7,-0.1,arcidry01
15,Deni Avdija,SF,23,WAS,49,1346,14.7,.601,.283,.318,3.8,20.3,11.9,19.0,1.5,1.3,15.0,19.0,,1.1,0.9,2.0,.071,,-0.9,-0.1,-1.0,0.4,avdijde01
16,Deandre Ayton,C,25,POR,34,1083,16.2,.575,.000,.121,10.2,26.9,18.1,8.3,1.5,2.1,12.8,18.4,,0.7,1.2,1.9,.086,,-1.3,-0.3,-1.6,0.1,aytonde01
17,Udoka Azubuike,C,24,PHO,12,102,13.7,.652,.000,.500,13.3,21.4,17.6,4.1,0.0,5.2,13.0,13.1,,0.1,0.1,0.2,.117,,-2.5,-0.3,-2.7,0.0,azubuud01
18,Ibou Badji,C,21,POR,13,164,9.3,.595,.000,.400,11.6,19.0,15.1,6.4,0.6,9.3,33.8,6.9,,0.0,0.2,0.2,.068,,-7.1,2.0,-5.1,-0.1,badjiib01
19,Marvin Bagley III,C,24,TOT,34,670,19.0,.639,.035,.407,12.7,17.9,15.2,8.7,0.7,2.1,12.9,22.0,,1.3,0.3,1.5,.110,,0.6,-1.8,-1.2,0.1,baglema01
19,Marvin Bagley III,C,24,DET,26,478,18.0,.638,.033,.337,10.6,17.3,13.9,8.7,0.5,2.4,12.2,20.9,,0.9,0.2,1.0,.102,,0.4,-1.7,-1.3,0.1,baglema01
